seed,average_chr,average_local_rsu_chr,method,method_label,model_name,agent_description,rsu_cache_capacity,mrsu_cache_capacity,frsu_cache_capacity,round,physical_tick_start,physical_tick_end,decision_interval_ticks,chr,local_rsu_chr,round_delay_ms,average_delay_ms,latency_scope,latency_request_count,excluded_not_covered_request_count,mrsu_average_delay_ms,frsu_average_delay_ms,mbs_average_delay_ms,mrsu_average_rate_mbps,frsu_average_rate_mbps,mbs_average_rate_mbps,average_service_distance_m,mrsu_average_distance_m,frsu_average_distance_m,mbs_average_distance_m,mrsu_latency_request_count,frsu_latency_request_count,mbs_latency_request_count,request_count,hit_count,mrsu_hit_count,frsu_hit_count,mbs_miss_count,not_covered_count,not_cached_count,mrsu_position,mrsu_speed,mrsu_covered_count,frsu_covered_count,selected_hotspot_position,path_plan_status,path_plan_solver,decision_request_count,decision_request_source,evaluation_request_count,evaluation_request_source,cache_update_count
1050,0.20950606442485337,0.261532806469399,da_elc_model_deepseek_v4_flash,DA-ELC w/ deepseek-v4-flash,deepseek-v4-flash,llm_tool_agent (deepseek-v4-flash),50,50,50,0,0,9,10,0.18020679468242246,0.18020679468242246,60.71877030018946,57.48395591973552,rsu_covered_requests_only,677,0,27.348812560205864,29.99150345988754,67.83511455765367,33.08032911626576,29.179722600377648,31.27245048926765,194.43597190524366,80.80200223238022,107.26749494322746,217.2214343113524,76,46,555,677,122,76,46,555,0,555,197.0,0.0,34,28,150.0,fallback: No module named 'cvxpy',heuristic,680,predicted_history_signal,677,current_service_window_true_requests,9
1050,0.20950606442485337,0.261532806469399,da_elc_model_deepseek_v4_flash,DA-ELC w/ deepseek-v4-flash,deepseek-v4-flash,llm_tool_agent (deepseek-v4-flash),50,50,50,1,10,19,10,0.21159420289855072,0.2143906020558003,58.435970188858676,57.48395591973552,rsu_covered_requests_only,681,9,24.632548612339367,33.10141603995772,66.20450055676696,36.918507222604916,25.856834794773906,31.735931876730355,173.78584608653904,45.258375880950545,159.77727127740053,189.16766342026338,54,92,535,690,146,54,92,544,9,535,338.58798476194863,8.943646873721264,26,41,300.0,fallback: No module named 'cvxpy',heuristic,680,predicted_history_signal,690,current_service_window_true_requests,9
1050,0.20950606442485337,0.261532806469399,da_elc_model_deepseek_v4_flash,DA-ELC w/ deepseek-v4-flash,deepseek-v4-flash,llm_tool_agent (deepseek-v4-flash),50,50,50,2,20,29,10,0.17126269956458637,0.24279835390946503,53.20771148782644,57.48395591973552,rsu_covered_requests_only,486,203,26.485565738181304,30.36022552502867,61.10237173809788,33.81707485193215,29.54769703208987,43.649138173499566,117.2163828116701,60.04137640360929,127.33840587174723,123.84584169805692,54,64,368,689,118,54,64,571,203,368,522.1436349324637,8.943646873721264,26,37,450.0,fallback: No module named 'cvxpy',heuristic,680,predicted_history_signal,689,current_service_window_true_requests,9
1050,0.20950606442485337,0.261532806469399,da_elc_model_deepseek_v4_flash,DA-ELC w/ deepseek-v4-flash,deepseek-v4-flash,llm_tool_agent (deepseek-v4-flash),50,50,50,3,30,39,10,0.11695906432748537,0.21621621621621623,57.37643544830733,57.48395591973552,rsu_covered_requests_only,370,314,29.558407127077643,30.701383663161963,64.94395923873526,29.960070232753406,29.064363697995603,35.51575320029151,162.75544662460334,106.58508426057172,130.4744254929927,176.0265389551108,53,27,290,684,80,53,27,604,314,290,733.0194231822737,15.407717946708871,27,23,650.0,fallback: No module named 'cvxpy',heuristic,680,predicted_history_signal,684,current_service_window_true_requests,9
1050,0.20950606442485337,0.261532806469399,da_elc_model_deepseek_v4_flash,DA-ELC w/ deepseek-v4-flash,deepseek-v4-flash,llm_tool_agent (deepseek-v4-flash),50,50,50,4,40,49,10,0.16939078751857356,0.2651162790697674,62.7122994653386,57.48395591973552,rsu_covered_requests_only,430,243,29.603573837044916,33.82916111994683,74.14844631620952,29.82217703844316,25.193858006791306,24.591900496725422,265.7343992969745,105.15604254622653,176.8145282038726,315.04740630518563,76,38,316,673,114,76,38,559,243,316,869.7006416291495,0.0,28,23,800.0,fallback: No module named 'cvxpy',heuristic,680,predicted_history_signal,673,current_service_window_true_requests,9
1050,0.20950606442485337,0.261532806469399,da_elc_model_deepseek_v4_flash,DA-ELC w/ deepseek-v4-flash,deepseek-v4-flash,llm_tool_agent (deepseek-v4-flash),50,50,50,5,50,59,10,0.1965065502183406,0.21669341894060995,61.6987863940913,57.48395591973552,rsu_covered_requests_only,623,64,28.229490474946214,28.873764432661556,70.86529412369072,32.301480997036506,30.720099357603228,31.25711241855194,231.23440360917675,92.72909195997792,96.44310940598893,269.017673796515,65,70,488,687,135,65,70,552,64,488,995.2968554314688,7.1769265029896605,26,20,950.0,fallback: No module named 'cvxpy',heuristic,680,predicted_history_signal,687,current_service_window_true_requests,9
1050,0.20950606442485337,0.261532806469399,da_elc_model_deepseek_v4_flash,DA-ELC w/ deepseek-v4-flash,deepseek-v4-flash,llm_tool_agent (deepseek-v4-flash),50,50,50,6,60,69,10,0.25671641791044775,0.2642089093701997,58.35257984613983,57.48395591973552,rsu_covered_requests_only,651,19,30.982429379957118,29.615791570703966,68.4545905139305,28.002922612225262,30.63234681607076,33.340851648702554,200.44441006157433,121.7524381671316,113.64410972257281,230.3262862547305,76,96,479,670,172,76,96,498,19,479,214.6742887480557,30.0,30,30,300.0,fallback: No module named 'cvxpy',heuristic,680,predicted_history_signal,670,current_service_window_true_requests,9
1050,0.20950606442485337,0.261532806469399,da_elc_model_deepseek_v4_flash,DA-ELC w/ deepseek-v4-flash,deepseek-v4-flash,llm_tool_agent (deepseek-v4-flash),50,50,50,7,70,79,10,0.2776957163958641,0.3164983164983165,54.521345601727276,57.48395591973552,rsu_covered_requests_only,594,83,30.223789087226784,31.49518575249873,65.45927899630584,28.922037235328993,28.08875796398546,35.76373075507023,167.75780863920164,111.87716902840704,143.50567135649038,185.84330128457367,88,100,406,677,188,88,100,489,83,406,350.9454371763875,0.0,28,35,250.0,fallback: No module named 'cvxpy',heuristic,680,predicted_history_signal,677,current_service_window_true_requests,9
1050,0.20950606442485337,0.261532806469399,da_elc_model_deepseek_v4_flash,DA-ELC w/ deepseek-v4-flash,deepseek-v4-flash,llm_tool_agent (deepseek-v4-flash),50,50,50,8,80,89,10,0.2537313432835821,0.3837471783295711,51.76136192143327,57.48395591973552,rsu_covered_requests_only,443,227,30.604988689892892,32.74382452037375,64.35590257310463,28.54001760043666,26.360204124741692,36.04247085116477,154.60641365251132,119.27383779129754,158.8694936802055,165.87549555957048,96,74,273,670,170,96,74,500,227,273,507.0447517845937,28.381693565128415,26,35,650.0,fallback: No module named 'cvxpy',heuristic,680,predicted_history_signal,670,current_service_window_true_requests,9
1050,0.20950606442485337,0.261532806469399,da_elc_model_deepseek_v4_flash,DA-ELC w/ deepseek-v4-flash,deepseek-v4-flash,llm_tool_agent (deepseek-v4-flash),50,50,50,9,90,99,10,0.26099706744868034,0.3662551440329218,53.646805095494145,57.48395591973552,rsu_covered_requests_only,486,196,30.895264202889415,31.994341803297992,66.49210601383476,28.303787605870635,27.122794730601463,35.299989163212935,177.53193014122155,125.55837760201487,144.5512744163862,202.32704742290085,93,85,308,682,178,93,85,504,196,308,804.1875262102375,27.142774425643793,32,31,800.0,fallback: No module named 'cvxpy',heuristic,680,predicted_history_signal,682,current_service_window_true_requests,9
