method,method_label,rsu_cache_capacity,mrsu_cache_capacity,frsu_cache_capacity,seed_count,seeds,achr_mean,achr_std,achr_min,achr_max,average_delay_ms_mean,average_delay_ms_std,mrsu_average_delay_ms_mean,frsu_average_delay_ms_mean,mbs_average_delay_ms_mean,mrsu_average_rate_mbps_mean,frsu_average_rate_mbps_mean,mbs_average_rate_mbps_mean,mrsu_hit_count_mean,frsu_hit_count_mean,mbs_miss_count_mean,not_covered_count_mean,not_cached_count_mean,decision_request_source,uses_proposed_miss_feedback
thompson_sampling,Thompson Sampling,50,50,50,3,"7,42,2026",0.17291818310823545,0.02018191934670423,0.1583242040618179,0.19594958397128845,64.10596843937257,1.0869811868944892,30.380354207646253,31.043230890180386,71.1151169504392,29.02799147638443,28.335354430809257,29.30143208587312,781.0,397.3333333333333,5627.333333333333,1664.6666666666667,3962.6666666666665,predicted_history_signal_no_proposed_feedback,False
thompson_sampling,Thompson Sampling,100,100,100,3,"7,42,2026",0.22485064027773358,0.05776563088860329,0.1686918737856572,0.2840991239523162,62.16265345105177,2.7769663372805753,30.581928817388313,30.88808419403229,71.29062766981745,28.84713192958156,28.53847330048872,29.08975889203477,984.0,547.3333333333334,5274.333333333333,1783.0,3491.3333333333335,predicted_history_signal_no_proposed_feedback,False
thompson_sampling,Thompson Sampling,150,150,150,3,"7,42,2026",0.2795591154224701,0.015893193904655233,0.2658035955627927,0.29695746789899957,60.093234546664924,0.5890264113590269,30.122766154174304,31.028225801942828,71.6055821566416,29.268275922226906,28.38788817310957,28.76346248061047,1246.6666666666667,658.0,4901.0,1653.0,3248.0,predicted_history_signal_no_proposed_feedback,False
thompson_sampling,Thompson Sampling,200,200,200,3,"7,42,2026",0.29978277108499857,0.04233749040543613,0.2649298568957622,0.3468979275990708,59.44013626458824,2.0255665978243105,30.408121667380428,31.053340178831586,71.75812156558844,28.993582266608396,28.335277174797124,28.604442380888344,1276.6666666666667,765.3333333333334,4763.666666666667,1934.3333333333333,2829.3333333333335,predicted_history_signal_no_proposed_feedback,False
thompson_sampling,Thompson Sampling,250,250,250,3,"7,42,2026",0.38506005255804165,0.0543898258199422,0.3464714512144226,0.4472663916046602,56.158889727497375,2.4052668229331915,30.525471186279088,30.932980458051134,72.15117552003144,28.82043496490681,28.492221095401998,28.141399884002926,1795.0,827.6666666666666,4183.0,1631.6666666666667,2551.3333333333335,predicted_history_signal_no_proposed_feedback,False
thompson_sampling,Thompson Sampling,300,300,300,3,"7,42,2026",0.4336259715483168,0.02568068831903935,0.41411037115277677,0.46271906999671747,54.252698321988,1.0851335930674233,30.346880617969116,31.007776959557493,72.4201309936948,29.032760091253447,28.32029388381334,27.84759336209056,1995.3333333333333,959.0,3851.3333333333335,1640.3333333333333,2211.0,predicted_history_signal_no_proposed_feedback,False
thompson_sampling,Thompson Sampling,350,350,350,3,"7,42,2026",0.46721653572899763,0.057947189621348254,0.4127100683904981,0.5280801926136772,53.18864373486176,2.8961194253362113,30.532823976598664,30.953125979731933,72.94203367250225,28.9483599769756,28.496649133360965,27.34244530260361,2184.3333333333335,998.0,3623.3333333333335,1718.0,1905.3333333333333,predicted_history_signal_no_proposed_feedback,False
thompson_sampling,Thompson Sampling,400,400,400,3,"7,42,2026",0.4906815587631937,0.032205485870814794,0.461548114334969,0.5252639031756268,52.268374965125595,1.218340634276963,30.39110679003369,31.26107058643845,73.13085450813752,29.02780570514393,28.181909398915753,26.997066463782943,2331.6666666666665,1011.6666666666666,3462.3333333333335,1800.6666666666667,1661.6666666666667,predicted_history_signal_no_proposed_feedback,False
cp_sat,CP-SAT,50,50,50,3,"7,42,2026",0.14656077022152297,0.015993419540339043,0.12872297887423823,0.15962084549539385,65.35813377629403,1.190295495435864,30.349545159172227,31.050335515629254,71.29950354746074,29.13544139746949,28.357718277124047,29.10404880661744,432.3333333333333,565.6666666666666,5807.666666666667,1415.6666666666667,4392.0,predicted_history_signal_no_proposed_feedback,False
cp_sat,CP-SAT,100,100,100,3,"7,42,2026",0.23263537595337072,0.011114946164686878,0.22046569274203023,0.24225095914482725,62.29768246881337,0.9489825837857723,30.01877991866216,31.158490159574153,71.89573085417828,29.437957078703494,28.234401217537286,28.44521399968669,730.0,854.0,5221.666666666667,1606.0,3615.6666666666665,predicted_history_signal_no_proposed_feedback,False
cp_sat,CP-SAT,150,150,150,3,"7,42,2026",0.30540925693687965,0.030508003347734167,0.27985391967621204,0.339185302204123,59.395756948216366,1.5745941277124262,30.223036252120526,31.17542131665205,72.05354065983018,29.197066055958953,28.21411959201151,28.283469903290733,1261.3333333333333,818.3333333333334,4726.0,1411.0,3315.0,predicted_history_signal_no_proposed_feedback,False
