method,method_label,rsu_cache_capacity,mrsu_cache_capacity,frsu_cache_capacity,seed_count,seeds,achr_mean,local_rsu_achr_mean,achr_std,achr_min,achr_max,average_delay_ms_mean,average_delay_ms_std,latency_request_count_mean,excluded_not_covered_request_count_mean,mrsu_average_delay_ms_mean,frsu_average_delay_ms_mean,mbs_average_delay_ms_mean,mrsu_average_rate_mbps_mean,frsu_average_rate_mbps_mean,mbs_average_rate_mbps_mean,average_service_distance_m_mean,mrsu_average_distance_m_mean,frsu_average_distance_m_mean,mbs_average_distance_m_mean,mrsu_hit_count_mean,frsu_hit_count_mean,mbs_miss_count_mean,not_covered_count_mean,not_cached_count_mean,decision_request_source,uses_proposed_miss_feedback
thompson_sampling,Thompson Sampling,50,50,50,3,"7,42,2026",0.17291818310823545,0.22871968147245347,0.02018191934670423,0.1583242040618179,0.19594958397128845,59.61215581114117,0.8721525854269722,5141.0,1664.6666666666667,30.380354207646253,31.043230890180386,68.21234365315767,29.02799147638443,28.335354430809257,32.55538835087711,202.19109023042097,118.51097186671348,130.03947318977913,225.7951068810684,781.0,397.3333333333333,5627.333333333333,1664.6666666666667,3962.6666666666665,predicted_history_signal_no_proposed_feedback,False
thompson_sampling,Thompson Sampling,100,100,100,3,"7,42,2026",0.22485064027773358,0.3014935625429365,0.05776563088860329,0.1686918737856572,0.2840991239523162,56.637707008486814,1.1064819770208085,5022.666666666667,1783.0,30.581928817388313,30.88808419403229,67.87413707426583,28.84713192958156,28.53847330048872,32.932768700970676,191.15277663447372,122.30837039896271,127.86805521867318,220.6196756272377,984.0,547.3333333333334,5274.333333333333,1783.0,3491.3333333333335,predicted_history_signal_no_proposed_feedback,False
thompson_sampling,Thompson Sampling,150,150,150,3,"7,42,2026",0.2795591154224701,0.36951884870403023,0.015893193904655233,0.2658035955627927,0.29695746789899957,54.24771586503237,0.7319600826955766,5152.666666666667,1653.0,30.122766154174304,31.028225801942828,68.18730345117196,29.268275922226906,28.38788817310957,32.53744215873508,186.35086000005663,113.35342542616303,130.3062787701212,225.36974431720262,1246.6666666666667,658.0,4901.0,1653.0,3248.0,predicted_history_signal_no_proposed_feedback,False
thompson_sampling,Thompson Sampling,200,200,200,3,"7,42,2026",0.29978277108499857,0.41813612698648434,0.04233749040543613,0.2649298568957622,0.3468979275990708,52.067271751752145,0.4795956384619144,4871.333333333333,1934.3333333333333,30.408121667380428,31.053340178831586,67.47005156722908,28.993582266608396,28.335277174797124,33.40416092292403,176.47751913875618,119.08486982455804,130.68328005981334,214.72166945881938,1276.6666666666667,765.3333333333334,4763.666666666667,1934.3333333333333,2829.3333333333335,predicted_history_signal_no_proposed_feedback,False
thompson_sampling,Thompson Sampling,250,250,250,3,"7,42,2026",0.38506005255804165,0.5052855372047976,0.0543898258199422,0.3464714512144226,0.4472663916046602,49.165524638816116,1.378016280647375,5174.0,1631.6666666666667,30.525471186279088,30.932980458051134,68.09306673479232,28.82043496490681,28.492221095401998,32.5585276647838,172.802082620968,120.41568536913974,128.7038005539771,223.88514380580773,1795.0,827.6666666666666,4183.0,1631.6666666666667,2551.3333333333335,predicted_history_signal_no_proposed_feedback,False
thompson_sampling,Thompson Sampling,300,300,300,3,"7,42,2026",0.4336259715483168,0.5718539852002883,0.02568068831903935,0.41411037115277677,0.46271906999671747,46.59615098660574,0.46421879684978395,5165.333333333333,1640.3333333333333,30.346880617969116,31.007776959557493,68.02277582312678,29.032760091253447,28.32029388381334,32.732469564794904,164.85030086809164,117.906611563695,128.63114686305832,222.9157802096157,1995.3333333333333,959.0,3851.3333333333335,1640.3333333333333,2211.0,predicted_history_signal_no_proposed_feedback,False
thompson_sampling,Thompson Sampling,350,350,350,3,"7,42,2026",0.46721653572899763,0.6244167338332968,0.057947189621348254,0.4127100683904981,0.5280801926136772,44.66556687835959,0.6439302711397271,5087.666666666667,1718.0,30.532823976598664,30.953125979731933,67.98228223051308,28.9483599769756,28.496649133360965,32.76942380264674,161.0392882414065,122.28137788081926,129.60546854848818,222.50914269567417,2184.3333333333335,998.0,3623.3333333333335,1718.0,1905.3333333333333,predicted_history_signal_no_proposed_feedback,False
thompson_sampling,Thompson Sampling,400,400,400,3,"7,42,2026",0.4906815587631937,0.6678701717723939,0.032205485870814794,0.461548114334969,0.5252639031756268,43.032529639894506,0.9357044774398898,5005.0,1800.6666666666667,30.39110679003369,31.26107058643845,67.94613308462334,29.02780570514393,28.181909398915753,32.83464257106042,156.57274831129112,119.32622490074833,135.43299304417255,221.87993074012718,2331.6666666666665,1011.6666666666666,3462.3333333333335,1800.6666666666667,1661.6666666666667,predicted_history_signal_no_proposed_feedback,False
cp_sat,CP-SAT,50,50,50,3,"7,42,2026",0.13819535697038765,0.1839398018012456,0.009475299077308468,0.12930779616678578,0.14816541458439506,61.56740161019732,1.1270458239366123,5113.0,1692.6666666666667,30.479779886563886,31.066560499016266,68.49815265603274,28.978854616237598,28.324995799190503,32.25157669540138,211.0188636806296,121.22494766174661,130.88334877545654,229.9987050461922,400.3333333333333,540.6666666666666,5864.666666666667,1692.6666666666667,4172.0,predicted_history_signal_no_proposed_feedback,False
cp_sat,CP-SAT,100,100,100,3,"7,42,2026",0.22890816127720814,0.3053845253851369,0.016000219928424753,0.2189913548221171,0.24736655524760823,57.16032630958068,0.7675996928073818,5100.0,1705.6666666666667,30.419940747686283,31.131847403723157,68.7525472171596,28.981814849678045,28.262517466789273,31.946843740851037,200.92581160204315,119.5230296214822,131.65701771935926,233.92548085622175,710.3333333333334,848.3333333333334,5247.0,1705.6666666666667,3541.3333333333335,predicted_history_signal_no_proposed_feedback,False
