seed,average_chr,average_local_rsu_chr,method,method_label,rsu_cache_capacity,mrsu_cache_capacity,frsu_cache_capacity,round,physical_tick_start,physical_tick_end,decision_interval_ticks,chr,local_rsu_chr,round_delay_ms,average_delay_ms,latency_scope,latency_request_count,excluded_not_covered_request_count,mrsu_average_delay_ms,frsu_average_delay_ms,mbs_average_delay_ms,mrsu_average_rate_mbps,frsu_average_rate_mbps,mbs_average_rate_mbps,average_service_distance_m,mrsu_average_distance_m,frsu_average_distance_m,mbs_average_distance_m,mrsu_latency_request_count,frsu_latency_request_count,mbs_latency_request_count,request_count,hit_count,mrsu_hit_count,frsu_hit_count,mbs_miss_count,not_covered_count,not_cached_count,mrsu_position,mrsu_speed,mrsu_covered_count,frsu_covered_count,selected_hotspot_id,selected_hotspot_position,lambda_smooth,path_plan_status,path_plan_solver,decision_request_count,evaluation_request_count,decision_request_source,uses_proposed_miss_feedback,decision_policy,fallback_to_topk,fallback_reason,solver_status
7,0.16448076129159997,0.22006281900274832,thompson_sampling,Thompson Sampling,50,50,50,0,0,9,10,0.04747774480712166,0.08226221079691516,67.23418516671973,59.22604221320718,rsu_covered_requests_only,389,285,27.730553547862666,34.059091989987024,70.42058696773076,32.61852545584184,24.981956994695757,27.778180657639034,248.61560420852888,87.95879030370752,182.66349922896097,257.71062904452106,12,20,357,674,32,12,20,642,285,357,348.8842507428895,30.0,16,25,6,950.0,2.0785294117647055,fallback: No module named 'cvxpy',heuristic,680,674,predicted_history_signal_no_proposed_feedback,False,thompson_hotspot,,,
7,0.16448076129159997,0.22006281900274832,thompson_sampling,Thompson Sampling,50,50,50,1,10,19,10,0.03823529411764706,0.16774193548387098,49.96920880409537,59.22604221320718,rsu_covered_requests_only,155,525,32.15902040646378,22.038880644115682,54.18646474546906,26.630730803367936,40.86971766323212,58.61865186115509,45.085200431252815,145.18558437011728,18.96422524400129,32.73761043589197,18,8,129,680,26,18,8,654,525,129,648.8842507428894,30.0,12,12,1,950.0,1.6432151799165964,fallback: No module named 'cvxpy',heuristic,680,680,predicted_history_signal_no_proposed_feedback,False,thompson_hotspot,,,
7,0.16448076129159997,0.22006281900274832,thompson_sampling,Thompson Sampling,50,50,50,2,20,29,10,0.1091703056768559,0.14677103718199608,60.88317197588092,59.22604221320718,rsu_covered_requests_only,511,176,34.15658208493189,31.409868826248374,65.72002827324594,24.92019596012339,27.349556192824487,33.036592461213,178.53841024262266,183.57650303618274,125.85625727891272,182.70242946110722,37,38,436,687,75,37,38,612,176,436,948.8842507428894,30.0,21,29,3,200.0,1.6267445916813024,fallback: No module named 'cvxpy',heuristic,680,687,predicted_history_signal_no_proposed_feedback,False,thompson_hotspot,,,
7,0.16448076129159997,0.22006281900274832,thompson_sampling,Thompson Sampling,50,50,50,3,30,39,10,0.1952662721893491,0.1961367013372957,55.942609172481355,59.22604221320718,rsu_covered_requests_only,673,3,30.247066264005884,28.49789166522026,62.5095883351561,29.011007628362258,32.45456784562872,43.770496376442274,139.68689450621392,111.79070924200389,103.84981542298802,147.84374974877434,40,92,541,676,132,40,92,544,3,541,215.90601230323819,16.808704624139466,18,43,7,150.0,1.2129210622695379,fallback: No module named 'cvxpy',heuristic,680,676,predicted_history_signal_no_proposed_feedback,False,thompson_hotspot,,,
7,0.16448076129159997,0.22006281900274832,thompson_sampling,Thompson Sampling,50,50,50,4,40,49,10,0.21585903083700442,0.2784090909090909,53.31757569682159,59.22604221320718,rsu_covered_requests_only,528,153,28.912511184221092,31.476589527730773,62.3231812201764,30.983183294340876,28.35190217779761,43.82974223016253,138.0915394936704,99.64702785330684,144.21947696576,145.7881899274599,86,61,381,681,147,86,61,534,153,381,492.88909426412454,30.0,29,38,2,550.0,1.344616301652849,fallback: No module named 'cvxpy',heuristic,680,681,predicted_history_signal_no_proposed_feedback,False,thompson_hotspot,,,
7,0.16448076129159997,0.22006281900274832,thompson_sampling,Thompson Sampling,50,50,50,5,50,59,10,0.17690058479532164,0.2671081677704194,58.54671204214397,59.22604221320718,rsu_covered_requests_only,453,231,28.52141112269617,34.26005869781943,68.98840069146509,30.87362766428374,24.850588479199192,29.88187156054918,203.05231939207087,85.6268553623776,187.64673772757845,236.93757408786018,92,29,332,684,121,92,29,563,231,332,737.4457270236963,11.518877586523928,31,31,0,650.0,1.0821853539272264,fallback: No module named 'cvxpy',heuristic,680,684,predicted_history_signal_no_proposed_feedback,False,thompson_hotspot,,,
7,0.16448076129159997,0.22006281900274832,thompson_sampling,Thompson Sampling,50,50,50,6,60,69,10,0.16567164179104477,0.22469635627530365,65.98133613081374,59.22604221320718,rsu_covered_requests_only,494,176,29.66329980995365,31.38466757447002,76.4170402465452,29.53103515480008,28.35298111690326,25.50348155488571,299.48853139948966,103.19266932747678,141.56614371483218,354.3746180894278,91,20,383,670,111,91,20,559,176,383,853.5967477158875,0.0,30,17,1,800.0,0.9769087901633122,fallback: No module named 'cvxpy',heuristic,680,670,predicted_history_signal_no_proposed_feedback,False,thompson_hotspot,,,
7,0.16448076129159997,0.22006281900274832,thompson_sampling,Thompson Sampling,50,50,50,7,70,79,10,0.21594202898550724,0.22439759036144577,64.01189660897806,59.22604221320718,rsu_covered_requests_only,664,26,29.34578244504306,31.651722048914845,73.82211014264135,29.919315770909304,27.483323253022338,25.80831649741378,264.2839621791493,96.74275406627932,136.44544677504544,308.9795118220387,100,49,515,690,149,100,49,541,26,515,18.693032374810173,30.0,30,19,6,150.0,1.332383051498758,fallback: No module named 'cvxpy',heuristic,680,690,predicted_history_signal_no_proposed_feedback,False,thompson_hotspot,,,
7,0.16448076129159997,0.22006281900274832,thompson_sampling,Thompson Sampling,50,50,50,8,80,89,10,0.24260355029585798,0.2496194824961948,58.46280235292678,59.22604221320718,rsu_covered_requests_only,657,19,29.955636736179454,28.429160965615054,68.0821534585077,29.483912177821733,31.332761934746312,32.5066922046612,194.2115970367169,111.0847613919634,89.58773972320218,223.78293577741687,120,44,493,676,164,120,44,512,19,493,299.1123695317875,20.20966857848867,36,23,4,250.0,1.2256990579127467,fallback: No module named 'cvxpy',heuristic,680,676,predicted_history_signal_no_proposed_feedback,False,thompson_hotspot,,,
7,0.16448076129159997,0.22006281900274832,thompson_sampling,Thompson Sampling,50,50,50,9,90,99,10,0.23768115942028986,0.28771929824561404,54.132238106954695,59.22604221320718,rsu_covered_requests_only,570,120,31.45819942893666,32.07206948788571,63.25189751991598,27.898481495229394,26.93140260236295,36.96502287842661,144.44817356413043,137.1108117987389,143.2964969540475,147.01590636089446,138,26,406,690,164,138,26,526,120,406,579.8634196507453,30.0,38,35,7,100.0,2.0088009784322054,fallback: No module named 'cvxpy',heuristic,680,690,predicted_history_signal_no_proposed_feedback,False,thompson_hotspot,,,
