round,FD-EMC(qwen3.7-flash),FD-EMC(deepseek-v4-flash),Thompson Sampling,CP-SAT,DQN
0,52.09517094093929,49.45690824251671,59.47859357821496,50.79203327351249,49.726575038982254
1,41.275337403577645,46.16940571431633,49.63353810730586,45.17917784030137,44.53651995718659
2,48.35823216876061,43.50723990477737,57.16595720743205,52.03440638554222,51.60100650526431
3,44.5052420522499,46.11906172548546,54.48766389728757,48.70094288033209,49.13009318787783
4,43.89395214090806,49.546844668986026,49.375230668572755,47.21610797039748,47.2282948349741
5,44.77632571176014,48.04613852295816,48.18433022792738,49.483470648993,49.61152646509556
6,49.440108441830674,46.84212236386774,51.464516295944996,51.86823787640625,50.19894307212695
7,47.89776414270605,44.629653165034135,53.40668192261654,52.79182259470974,52.833388022794075
8,43.621300957471405,44.049879980905054,48.02676472571588,51.13498885887004,50.81930717166305
9,42.874942695213186,43.5154682658197,47.95214342747385,52.64828322628023,49.9861365150551
