round,FD-EMC(qwen3.7-flash),Direct LLM,Open-loop FD-EMC,Static mRSU
0,52.09517094093929,55.75238780075339,50.419925370984295,52.858572142085336
1,41.275337403577645,48.546295510809635,49.002488785282274,52.575374912772496
2,48.35823216876061,44.55878601703565,54.453654379718195,51.30726039354763
3,44.5052420522499,47.79932404830736,48.0418607737033,46.58039910467964
4,43.89395214090806,47.53574159635659,45.87037866321544,45.86189780420486
5,44.77632571176014,52.24351038041428,48.51780702697861,48.87062680380399
6,49.440108441830674,55.17823780319546,50.59517742734001,46.78440624124914
7,47.89776414270605,54.638542179085356,56.04376514520338,50.75162926006496
8,43.621300957471405,50.19536576035605,54.63553334935309,47.72522920299366
9,42.874942695213186,51.54442532479087,51.693453758732836,46.620326901026175
