round,FD-EMC(qwen3.7-flash),Direct LLM,Open-loop FD-EMC,Static mRSU
0,0.2596439169139466,0.2526140587037684,0.15316642120765833,0.41384388807069217
1,0.13823529411764707,0.212328012150497,0.11492537313432835,0.5119402985074627
2,0.38282387190684136,0.2727454334059943,0.31407407407407406,0.45037037037037037
3,0.48372781065088755,0.3750275754300712,0.48040638606676345,0.5341074020319303
4,0.434654919236417,0.4009416202373357,0.4065281899109792,0.516320474777448
5,0.3991228070175439,0.3991150354105735,0.42199108469539376,0.5141158989598811
6,0.4134328358208955,0.28702514477485774,0.46647230320699706,0.47230320699708456
7,0.5681159420289855,0.22661308733614302,0.3935860058309038,0.5612244897959183
8,0.5931952662721893,0.20224698368880165,0.4590643274853801,0.5862573099415205
9,0.5956521739130435,0.2327816330390505,0.47128129602356406,0.6023564064801178
