seed,average_chr,method,method_label,rsu_cache_capacity,mrsu_cache_capacity,frsu_cache_capacity,round,physical_tick_start,physical_tick_end,decision_interval_ticks,chr,round_delay_ms,average_delay_ms,mrsu_average_delay_ms,frsu_average_delay_ms,mbs_average_delay_ms,mrsu_average_rate_mbps,frsu_average_rate_mbps,mbs_average_rate_mbps,mrsu_latency_request_count,frsu_latency_request_count,mbs_latency_request_count,request_count,hit_count,mrsu_hit_count,frsu_hit_count,mbs_miss_count,not_covered_count,not_cached_count,mrsu_position,mrsu_speed,mrsu_covered_count,frsu_covered_count,selected_hotspot_id,selected_hotspot_position,lambda_smooth,path_plan_status,path_plan_solver,decision_request_count,evaluation_request_count,decision_request_source,uses_proposed_miss_feedback,decision_policy,fallback_to_topk,fallback_reason,solver_status
7,0.15133848629493685,cp_sat,CP-SAT,50,50,50,0,0,9,10,0.11127596439169139,71.78114690329342,64.83818783095633,27.236781391915184,33.392606060789646,76.72132433882456,33.43034394324776,25.560662036862354,23.19484004320105,13,62,599,674,75,13,62,599,285,314,344.7276573241671,30.0,16,25,7,50.0,2.2247058823529406,fallback: No module named 'cvxpy',heuristic,680,674,predicted_history_signal_no_proposed_feedback,False,cp_sat,False,,OPTIMAL
7,0.15133848629493685,cp_sat,CP-SAT,50,50,50,1,10,19,10,0.06323529411764706,70.58509282082298,64.83818783095633,31.954785595765454,23.179266365111435,73.41321137399086,26.807821320332007,38.42105264388313,28.142630904696684,27,16,637,680,43,27,16,637,525,112,644.7276573241671,30.0,12,12,6,200.0,2.0824422807727005,fallback: No module named 'cvxpy',heuristic,680,680,predicted_history_signal_no_proposed_feedback,False,cp_sat,False,,OPTIMAL
7,0.15133848629493685,cp_sat,CP-SAT,50,50,50,2,20,29,10,0.12081513828238719,63.31378091176448,64.83818783095633,33.86205130234099,31.75583421099349,67.54228562423505,25.17193738932746,27.007987296307615,30.74704261131425,31,52,604,687,83,31,52,604,181,423,944.7276573241671,30.0,20,29,7,350.0,1.8800893395962297,fallback: No module named 'cvxpy',heuristic,680,687,predicted_history_signal_no_proposed_feedback,False,cp_sat,False,,OPTIMAL
7,0.15133848629493685,cp_sat,CP-SAT,50,50,50,3,30,39,10,0.21005917159763313,55.76980196321742,64.83818783095633,30.597906318906922,29.843508702380827,62.61885237391022,28.629419435461767,30.418027828107142,44.04436308186244,32,110,534,676,142,32,110,534,3,531,244.727657324167,30.0,21,43,0,250.0,1.2556775748903473,fallback: No module named 'cvxpy',heuristic,680,676,predicted_history_signal_no_proposed_feedback,False,cp_sat,False,,OPTIMAL
7,0.15133848629493685,cp_sat,CP-SAT,50,50,50,4,40,49,10,0.19236417033773862,60.1540010170544,64.83818783095633,28.80025179338761,29.185082136353397,67.5603211590896,30.393107863396263,31.090443890772825,36.64854297402431,43,88,550,681,131,43,88,550,153,397,544.727657324167,30.0,31,38,7,700.0,1.556559927831524,fallback: No module named 'cvxpy',heuristic,680,681,predicted_history_signal_no_proposed_feedback,False,cp_sat,False,,OPTIMAL
7,0.15133848629493685,cp_sat,CP-SAT,50,50,50,5,50,59,10,0.19005847953216373,66.51022317297662,64.83818783095633,30.775785464316012,34.03248196041644,74.44879351308897,28.423693384838067,25.137044178427164,25.543047837800554,54,76,554,684,130,54,76,554,77,477,844.727657324167,30.0,41,31,7,850.0,1.3336187513609359,fallback: No module named 'cvxpy',heuristic,680,684,predicted_history_signal_no_proposed_feedback,False,cp_sat,False,,OPTIMAL
7,0.15133848629493685,cp_sat,CP-SAT,50,50,50,6,60,69,10,0.11641791044776119,70.91801545876795,64.83818783095633,31.875209206911133,33.4490566873009,76.0089984622089,27.31313997136634,25.931269723484682,24.77569226462588,58,20,592,670,78,58,20,592,0,592,144.727657324167,30.0,40,17,4,750.0,2.0945011043021124,fallback: No module named 'cvxpy',heuristic,680,670,predicted_history_signal_no_proposed_feedback,False,cp_sat,False,,OPTIMAL
7,0.15133848629493685,cp_sat,CP-SAT,50,50,50,7,70,79,10,0.13478260869565217,68.41008007545634,64.83818783095633,30.527335016518464,32.36676066643389,74.22514100055447,28.87677665986779,26.60686214076733,25.321398414736134,65,28,597,690,93,65,28,597,141,456,242.727657324167,0.0,32,19,6,150.0,0.9539128690079945,fallback: No module named 'cvxpy',heuristic,680,690,predicted_history_signal_no_proposed_feedback,False,cp_sat,False,,OPTIMAL
7,0.15133848629493685,cp_sat,CP-SAT,50,50,50,8,80,89,10,0.16568047337278108,62.29104864865784,64.83818783095633,29.154048458072054,27.878994244852564,68.98222183623473,31.02295521571171,32.0369375151869,31.556786057933277,63,49,564,676,112,63,49,564,53,511,250.0,0.0,41,23,4,250.0,0.9344540454785829,fallback: No module named 'cvxpy',heuristic,680,676,predicted_history_signal_no_proposed_feedback,False,cp_sat,False,,OPTIMAL
7,0.15133848629493685,cp_sat,CP-SAT,50,50,50,9,90,99,10,0.20869565217391303,58.78033502868402,64.83818783095633,30.631956521532736,30.87520407125682,66.16443296477256,29.18060666332497,28.36029709298978,33.54495735403996,55,89,546,690,144,55,89,546,4,542,250.0,0.0,34,35,3,250.0,0.9147058823529411,fallback: No module named 'cvxpy',heuristic,680,690,predicted_history_signal_no_proposed_feedback,False,cp_sat,False,,OPTIMAL
