seed,average_chr,method,method_label,rsu_cache_capacity,mrsu_cache_capacity,frsu_cache_capacity,round,physical_tick_start,physical_tick_end,decision_interval_ticks,chr,round_delay_ms,average_delay_ms,mrsu_average_delay_ms,frsu_average_delay_ms,mbs_average_delay_ms,mrsu_average_rate_mbps,frsu_average_rate_mbps,mbs_average_rate_mbps,mrsu_latency_request_count,frsu_latency_request_count,mbs_latency_request_count,request_count,hit_count,mrsu_hit_count,frsu_hit_count,mbs_miss_count,not_covered_count,not_cached_count,mrsu_position,mrsu_speed,mrsu_covered_count,frsu_covered_count,selected_hotspot_id,selected_hotspot_position,lambda_smooth,path_plan_status,path_plan_solver,decision_request_count,evaluation_request_count,decision_request_source,uses_proposed_miss_feedback,decision_policy,fallback_to_topk,fallback_reason,solver_status
7,0.16448076129159997,thompson_sampling,Thompson Sampling,50,50,50,0,0,9,10,0.04747774480712166,73.98967542217079,64.01311270951294,27.730553547862666,34.059091989987024,76.09827531490501,32.61852545584184,24.981956994695757,23.676906999751548,12,20,642,674,32,12,20,642,285,357,348.8842507428895,30.0,16,25,6,950.0,2.0785294117647055,fallback: No module named 'cvxpy',heuristic,680,674,predicted_history_signal_no_proposed_feedback,False,thompson_hotspot,,,
7,0.16448076129159997,thompson_sampling,Thompson Sampling,50,50,50,1,10,19,10,0.03823529411764706,71.21200421990571,64.01311270951294,32.15902040646378,22.038880644115682,72.88836308419971,26.630730803367936,40.86971766323212,29.060657034175794,18,8,654,680,26,18,8,654,525,129,648.8842507428894,30.0,12,12,1,950.0,1.6432151799165964,fallback: No module named 'cvxpy',heuristic,680,680,predicted_history_signal_no_proposed_feedback,False,thompson_hotspot,,,
7,0.16448076129159997,thompson_sampling,Thompson Sampling,50,50,50,2,20,29,10,0.1091703056768559,63.7132641671205,64.01311270951294,34.15658208493189,31.409868826248374,67.50595413443115,24.92019596012339,27.349556192824487,30.770940816606668,37,38,612,687,75,37,38,612,176,436,948.8842507428894,30.0,21,29,3,200.0,1.6267445916813024,fallback: No module named 'cvxpy',heuristic,680,687,predicted_history_signal_no_proposed_feedback,False,thompson_hotspot,,,
7,0.16448076129159997,thompson_sampling,Thompson Sampling,50,50,50,3,30,39,10,0.1952662721893491,56.04998241980853,64.01311270951294,30.247066264005884,28.49789166522026,62.60680042652586,29.011007628362258,32.45456784562872,43.63903156918052,40,92,544,676,132,40,92,544,3,541,215.90601230323819,16.808704624139466,18,43,7,150.0,1.2129210622695379,fallback: No module named 'cvxpy',heuristic,680,676,predicted_history_signal_no_proposed_feedback,False,thompson_hotspot,,,
7,0.16448076129159997,thompson_sampling,Thompson Sampling,50,50,50,4,40,49,10,0.21585903083700442,59.40286520515317,64.01311270951294,28.912511184221092,31.476589527730773,67.50337693197514,30.983183294340876,28.35190217779761,36.96019352012521,86,61,534,681,147,86,61,534,153,381,492.88909426412454,30.0,29,38,2,550.0,1.344616301652849,fallback: No module named 'cvxpy',heuristic,680,681,predicted_history_signal_no_proposed_feedback,False,thompson_hotspot,,,
7,0.16448076129159997,thompson_sampling,Thompson Sampling,50,50,50,5,50,59,10,0.17690058479532164,66.75916875589357,64.01311270951294,28.52141112269617,34.26005869781943,74.68163393162769,30.87362766428374,24.850588479199192,25.33194356016008,92,29,563,684,121,92,29,563,231,332,737.4457270236963,11.518877586523928,31,31,0,650.0,1.0821853539272264,fallback: No module named 'cvxpy',heuristic,680,684,predicted_history_signal_no_proposed_feedback,False,thompson_hotspot,,,
7,0.16448076129159997,thompson_sampling,Thompson Sampling,50,50,50,6,60,69,10,0.16567164179104477,67.99509362678789,64.01311270951294,29.66329980995365,31.38466757447002,75.54500732692792,29.53103515480008,28.35298111690326,24.993606121851066,91,20,559,670,111,91,20,559,176,383,853.5967477158875,0.0,30,17,1,800.0,0.9769087901633122,fallback: No module named 'cvxpy',heuristic,680,670,predicted_history_signal_no_proposed_feedback,False,thompson_hotspot,,,
7,0.16448076129159997,thompson_sampling,Thompson Sampling,50,50,50,7,70,79,10,0.21594202898550724,64.13803317020937,64.01311270951294,29.34578244504306,31.651722048914845,73.51151619693776,29.919315770909304,27.483323253022338,25.973262127539606,100,49,541,690,149,100,49,541,26,515,18.693032374810173,30.0,30,19,6,150.0,1.332383051498758,fallback: No module named 'cvxpy',heuristic,680,690,predicted_history_signal_no_proposed_feedback,False,thompson_hotspot,,,
7,0.16448076129159997,thompson_sampling,Thompson Sampling,50,50,50,8,80,89,10,0.24260355029585798,59.12019180841409,64.01311270951294,29.955636736179454,28.429160965615054,68.59314486652214,29.483912177821733,31.332761934746312,32.010399707890556,120,44,512,676,164,120,44,512,19,493,299.1123695317875,20.20966857848867,36,23,4,250.0,1.2256990579127467,fallback: No module named 'cvxpy',heuristic,680,676,predicted_history_signal_no_proposed_feedback,False,thompson_hotspot,,,
7,0.16448076129159997,thompson_sampling,Thompson Sampling,50,50,50,9,90,99,10,0.23768115942028986,57.90353436240874,64.01311270951294,31.45819942893666,32.07206948788571,66.11850452886644,27.898481495229394,26.93140260236295,33.70891368799074,138,26,526,690,164,138,26,526,120,406,579.8634196507453,30.0,38,35,7,100.0,2.0088009784322054,fallback: No module named 'cvxpy',heuristic,680,690,predicted_history_signal_no_proposed_feedback,False,thompson_hotspot,,,
